SL. No.,STATE,CONSTITUENCY,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,MARGIN
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,GEN,GEN,INC,Hand,1407
2,Andhra Pradesh,Aruku ,GODDETI. MADHAVI,ST,ST,YSRCP,Ceiling Fan,224089
3,Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,GEN,GEN,TDP,Bicycle,6653
4,Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,GEN,GEN,YSRCP,Ceiling Fan,48036
5,Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,GEN,GEN,YSRCP,Ceiling Fan,4414
6,Andhra Pradesh,Anakapalli,Dr.Beesetti Venkata Satyavathi,GEN,GEN,YSRCP,Ceiling Fan,89192
7,Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,GEN,GEN,YSRCP,Ceiling Fan,25738
8,Andhra Pradesh,Amalapuram ,CHINTA ANURADHA,SC,SC,YSRCP,Ceiling Fan,39795
9,Andhra Pradesh,Rajahmundry,MARGANI BHARAT,GEN,GEN,YSRCP,Ceiling Fan,121634
10,Andhra Pradesh,Narsapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,GEN,GEN,YSRCP,Ceiling Fan,32676
11,Andhra Pradesh,Eluru ,KOTAGIRI SRIDHAR,GEN,GEN,YSRCP,Ceiling Fan,165925
12,Andhra Pradesh,Machilipatnam ,BALASHOWRY VALLABHANENI,GEN,GEN,YSRCP,Ceiling Fan,60238
13,Andhra Pradesh,Vijayawada,KESINENI SRINIVAS (NANI),GEN,GEN,TDP,Bicycle,8726
14,Andhra Pradesh,Guntur,Jayadev Galla,GEN,GEN,TDP,Bicycle,4205
15,Andhra Pradesh,Narasaraopet,LAVU SRI KRISHNA DEVARAYALU,GEN,GEN,YSRCP,Ceiling Fan,154002
16,Andhra Pradesh,Bapatla ,NANDIGAM SURESH,SC,SC,YSRCP,Ceiling Fan,16065
17,Andhra Pradesh,Ongole ,MAGUNTA SREENIVASULU REDDY,GEN,GEN,YSRCP,Ceiling Fan,214851
18,Andhra Pradesh,Nandyal,POCHA . BRAHMANANDA REDDY,GEN,GEN,YSRCP,Ceiling Fan,250119
19,Andhra Pradesh,Kurnool,AYUSHMAN DOCTOR SANJEEV KUMAR,GEN,GEN,YSRCP,Ceiling Fan,149067
20,Andhra Pradesh,Anantapur,TALARI RANGAIAH,GEN,GEN,YSRCP,Ceiling Fan,141428
21,Andhra Pradesh,Hindupur,KURUVA GORANTLA MADHAV,GEN,GEN,YSRCP,Ceiling Fan,140748
22,Andhra Pradesh,Kadapa,Y.S.Avinash Reddy,GEN,GEN,YSRCP,Ceiling Fan,380726
23,Andhra Pradesh,Nellore,Adala Prabhakara Reddy,GEN,GEN,YSRCP,Ceiling Fan,148571
24,Andhra Pradesh,Tirupati ,Balli Durga Prasad Rao,SC,SC,YSRCP,Ceiling Fan,228376
25,Andhra Pradesh,Rajampet,P.V.MIDHUN REDDY,GEN,GEN,YSRCP,Ceiling Fan,268284
26,Andhra Pradesh,Chittoor ,N. REDDEPPA,SC,SC,YSRCP,Ceiling Fan,137271
27,Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,GEN,GEN,BJP,Lotus,174843
28,Arunachal Pradesh,ARUNACHAL EAST,Tapir Gao,GEN,GEN,BJP,Lotus,69948
29,Assam,Kokrajhar,Naba Kumar Sarania,ST,ST,IND,Battery Torch,37786
30,Assam,Barpeta,Abdul Khaleque,GEN,GEN,INC,Hand,140307
31,Assam,Gauhati,QUEEN OJA,GEN,GEN,BJP,Lotus,345606
32,Assam,Mangaldoi,DILIP SAIKIA,GEN,GEN,BJP,Lotus,138545
33,Assam,Tezpur,PALLAB LOCHAN DAS,GEN,GEN,BJP,Lotus,242841
34,Assam,Nowgong,Pradyut Bordoloi,GEN,GEN,INC,Hand,16752
