date,value
28/04/2013,135.98
29/04/2013,147.49
30/04/2013,146.93
01/05/2013,139.89
02/05/2013,125.6
03/05/2013,108.13
04/05/2013,115
05/05/2013,118.8
06/05/2013,124.66
07/05/2013,113.44
08/05/2013,115.78
09/05/2013,113.46
10/05/2013,122
11/05/2013,118.68
12/05/2013,117.45
13/05/2013,118.7
14/05/2013,119.8
15/05/2013,115.81
16/05/2013,118.76
17/05/2013,125.3
18/05/2013,125.25
19/05/2013,124.5
20/05/2013,123.62
21/05/2013,123
22/05/2013,124
23/05/2013,126.93
24/05/2013,133.85
25/05/2013,133.22
26/05/2013,136
27/05/2013,135.47
28/05/2013,130.58
29/05/2013,132.59
30/05/2013,132.25
31/05/2013,129.9
01/06/2013,129.78
02/06/2013,129.4
03/06/2013,122.5
04/06/2013,123.84
05/06/2013,123.47
06/06/2013,123.1
07/06/2013,119
08/06/2013,111.42
09/06/2013,108.99
10/06/2013,110.1
11/06/2013,109.6
12/06/2013,111.79
13/06/2013,110.3
14/06/2013,104.7
15/06/2013,103.7
16/06/2013,101.6
17/06/2013,102.21
18/06/2013,111.11
19/06/2013,110.22
20/06/2013,114.3
21/06/2013,114.99
22/06/2013,109.96
23/06/2013,108.8
24/06/2013,108.33
25/06/2013,106.47
26/06/2013,105.49
27/06/2013,104
28/06/2013,101.74
29/06/2013,99.99
30/06/2013,98.12
01/07/2013,97.66
02/07/2013,92.3
03/07/2013,90.98
04/07/2013,83.11
05/07/2013,80
06/07/2013,75
07/07/2013,74.56
08/07/2013,80
09/07/2013,78.3
10/07/2013,87
11/07/2013,90.28
12/07/2013,104
13/07/2013,98.25
14/07/2013,98.7
15/07/2013,101.9
16/07/2013,99.86
17/07/2013,99.97
18/07/2013,98.8
19/07/2013,95.2
20/07/2013,93.1
21/07/2013,91.95
22/07/2013,92
23/07/2013,96.82
24/07/2013,95.99
25/07/2013,97.33
26/07/2013,97.47
27/07/2013,97
28/07/2013,100.58
29/07/2013,102.5
30/07/2013,107.99
31/07/2013,111.34
01/08/2013,108
02/08/2013,108
03/08/2013,105.78
04/08/2013,105.95
05/08/2013,107.77
06/08/2013,107.38
07/08/2013,106.75
08/08/2013,106.75
09/08/2013,105.75
10/08/2013,103.9
11/08/2013,105.19
12/08/2013,108
13/08/2013,109.35
14/08/2013,115
15/08/2013,113.25
16/08/2013,112.3
17/08/2013,113.75
18/08/2013,114.69
19/08/2013,123.06
20/08/2013,123.01
21/08/2013,124.91
22/08/2013,123.5
23/08/2013,122
24/08/2013,121.39
25/08/2013,122.99
26/08/2013,122.75
27/08/2013,127.24
28/08/2013,127.32
29/08/2013,123.7
30/08/2013,135.75
31/08/2013,140.89
01/09/2013,145.81
02/09/2013,146.5
03/09/2013,138.34
