"id,state_code,state,constituency_code,constituency,winning_party,winning_party_alliance"
"124,S06,Gujarat,24,Surat,Bharatiya Janata Party,National Democratic Alliance"
"125,S06,Gujarat,25,Navsari,Bharatiya Janata Party,National Democratic Alliance"
"120,S06,Gujarat,20,Vadodara,Bharatiya Janata Party,National Democratic Alliance"
"137,S08,Himachal Pradesh,1,Kangra,Bharatiya Janata Party,National Democratic Alliance"
"334,S20,Rajasthan,23,Bhilwara,Bharatiya Janata Party,National Democratic Alliance"
"249,S13,Maharashtra,26,Mumbai North,Bharatiya Janata Party,National Democratic Alliance"
"131,S07,Haryana,5,Karnal,Bharatiya Janata Party,National Democratic Alliance"
"106,S06,Gujarat,6,Gandhinagar,Bharatiya Janata Party,National Democratic Alliance"
"333,S20,Rajasthan,22,Rajsamand,Bharatiya Janata Party,National Democratic Alliance"
"211,S12,Madhya Pradesh,17,HOSHANGABAD,Bharatiya Janata Party,National Democratic Alliance"
"139,S08,Himachal Pradesh,3,Hamirpur,Bharatiya Janata Party,National Democratic Alliance"
"136,S07,Haryana,10,Faridabad,Bharatiya Janata Party,National Democratic Alliance,"
"138,S08,Himachal Pradesh,2,Mandi,Bharatiya Janata Party,National Democratic Alliance"
"527,S28,Uttarakhand,2,Garhwal,Bharatiya Janata Party,National Democratic Alliance"
"212,S12,Madhya Pradesh,18,VIDISHA,Bharatiya Janata Party,National Democratic Alliance"
"158,S10,Karnataka,12,Uttara Kannada,Bharatiya Janata Party,National Democratic Alliance"
"118,S06,Gujarat,18,Panchmahal,Bharatiya Janata Party,National Democratic Alliance"
"525,S27,Jharkhand,14,Hazaribagh,Bharatiya Janata Party,National Democratic Alliance"
"332,S20,Rajasthan,21,Chittorgarh,Bharatiya Janata Party,National Democratic Alliance"
"107,S06,Gujarat,7,Ahmedabad East,Bharatiya Janata Party,National Democratic Alliance"
"140,S08,Himachal Pradesh,4,Shimla,Bharatiya Janata Party,National Democratic Alliance"
"326,S20,Rajasthan,15,Pali,Bharatiya Janata Party,National Democratic Alliance"
"518,S27,Jharkhand,7,Dhanbad,Bharatiya Janata Party,National Democratic Alliance"
"226,S13,Maharashtra,3,Jalgaon,Bharatiya Janata Party,National Democratic Alliance"
