Date,Non-food credit,growth
01/06/1998,302003,13.70811128
01/07/1998,305592,13.99719904
01/08/1998,306899,14.66132421
01/09/1998,314611,16.16497087
01/10/1998,321091,16.84767863
01/11/1998,319763,16.38361566
01/12/1998,322181,15.4412955
01/01/1999,332215,12.75056053
01/02/1999,336133,11.82529804
01/03/1999,352054,12.98501407
01/04/1999,348798,13.00474639
01/05/1999,345389,13.28028035
01/06/1999,341374,13.03634913
01/07/1999,349561,14.38811646
01/08/1999,353078,15.04679667
01/09/1999,360126,14.46707804
01/10/1999,371048,15.55828671
01/11/1999,371144,16.06850233
01/12/1999,389579,20.91952905
01/01/2000,389232,17.16272759
01/02/2000,398657,18.6010173
01/03/2000,410267,16.53531058
01/04/2000,418650,20.02652285
01/05/2000,412210,19.34630219
01/06/2000,426752,25.01032812
01/07/2000,424749,21.5092931
01/08/2000,429630,21.68128221
01/09/2000,435361,20.89145478
01/10/2000,444281,19.73686158
01/11/2000,445263,19.97043691
01/12/2000,460253,18.14093889
01/01/2001,461205,18.49104707
01/02/2001,465111,16.66954062
01/03/2001,471443,14.91114559
01/04/2001,479184,14.45927349
01/05/2001,472363,14.59285489
01/06/2001,469076,9.917549969
01/07/2001,473077,11.37795527
01/08/2001,476971,11.0190353
01/09/2001,481725,10.64943095
01/10/2001,492836,10.92891124
01/11/2001,497589,11.7516329
01/12/2001,507397,10.24325597
01/01/2002,513863,11.41743453
01/02/2002,519289,11.64820391
01/03/2002,535745,13.63932728
01/04/2002,543317,13.38393817
01/05/2002,584079,23.65044831
01/06/2002,587810,25.31248019
01/07/2002,592115,25.16263176
01/08/2002,596981,25.16095178
01/09/2002,607756,26.1624891
01/10/2002,620132,25.82936794
01/11/2002,629324,26.47479798
01/12/2002,640297,26.19241079
01/01/2003,647747,26.0543774
01/02/2003,659256,26.95367623
01/03/2003,679736,26.87693703
01/04/2003,685395,26.1499462
01/05/2003,679323,16.30672982
01/06/2003,682828,16.16470846
01/07/2003,683376,15.41272845
01/08/2003,685375,14.80678281
01/09/2003,698014,14.85094089
01/10/2003,726283,17.11747128
01/11/2003,732751,16.43455341
01/12/2003,747005,16.6654271
01/01/2004,760309,17.37751009
01/02/2004,777195,17.88979454
01/03/2004,804824,18.40237428
01/04/2004,821906,19.91714466
01/05/2004,820484,20.77977314
01/06/2004,835809,22.40402263
01/07/2004,841064,23.07485718
01/08/2004,863714,26.02069938
01/09/2004,882286,26.39953905
01/10/2004,951046,30.94699536
01/11/2004,964719,31.65712358
01/12/2004,984098,31.73914445
01/01/2005,1005894,32.30065646
01/02/2005,1016849,30.83568974
01/03/2005,1059308,31.61988294
01/04/2005,1086217,32.1583212
01/05/2005,1095347,33.49999576
01/06/2005,1116399,33.5711141
01/07/2005,1136184,35.08884536
01/08/2005,1157492,34.01325278
01/09/2005,1236689,40.16872779
01/10/2005,1247519,31.17335053
01/11/2005,1264787,31.10424734
01/12/2005,1298084,31.90593785
01/01/2006,1323831,31.60739382
01/02/2006,1358777,33.62620736
01/03/2006,1466387,38.42872218
01/04/2006,1448521,33.35465817
01/05/2006,1454371,32.77722001
01/06/2006,1479830,32.55384278
01/07/2006,1512024,33.07914695
01/08/2006,1537493,32.82972072
01/09/2006,1628033,31.64449129
01/10/2006,1617457,29.65387483
01/11/2006,1644578,30.02801499
01/12/2006,1694076,30.50582151
01/01/2007,1727754,30.51164359
01/02/2007,1769668,30.23977987
01/03/2007,1884669,28.52467898
01/04/2007,1837951,26.88468208
01/05/2007,1838857,26.43658391
01/06/2007,1850885,25.07417165
01/07/2007,1872759,23.85770399
01/08/2007,1923820,25.12707411
01/09/2007,2000472,22.8765716
01/10/2007,1990843,23.08471864
01/11/2007,2035049,23.7429354
01/12/2007,2084224,23.03019116
01/01/2008,2126380,23.07191603
01/02/2008,2210449,24.90758206
01/03/2008,2317515,22.96664524
01/04/2008,2284111,24.27486726
01/05/2008,2306865,25.45103194
01/06/2008,2343093,26.5930767
01/07/2008,2356949,25.85437305
01/08/2008,2416411,25.60481309
01/09/2008,2505851,25.26300784
01/10/2008,2567727,28.97687617
01/11/2008,2583789,26.96450308
01/12/2008,2591625,24.34481382
01/01/2009,2592260,21.90957277
01/02/2009,2619498,18.50524345
01/03/2009,2729338,17.77006111
01/04/2009,2695514,18.01149479
01/05/2009,2678970,16.13035266
01/06/2009,2707325,15.54493623
01/07/2009,2756333,16.94498728
01/08/2009,2757630,14.1209019
01/09/2009,2832253,13.02562144
01/10/2009,2832253,10.30198198
01/11/2009,2858002,10.61278542
01/12/2009,2897242,11.79248054
01/01/2010,2987312,15.23965011
01/02/2010,3044859,16.23824788
01/03/2010,3196299,17.1089392
01/04/2010,3167300,17.5026593
