Date,Exchangerate,change
01/01/1998,38.9150,8.458751394
01/02/1998,39.2900,9.473390917
01/03/1998,39.4950,9.967979953
01/04/1998,39.7350,11.06918239
01/05/1998,41.4950,15.92401173
01/06/1998,42.4700,18.51541789
01/07/1998,42.5600,19.18230188
01/08/1998,42.5405,16.96590597
01/09/1998,42.4899,17.45653075
01/10/1998,42.3693,16.39917582
01/11/1998,42.6294,10.52476018
01/12/1998,42.4809,8.176470588
01/01/1999,42.5007,9.214184762
01/02/1999,42.4899,8.14431153
01/03/1999,42.4304,7.432333207
01/04/1999,42.8192,7.761922738
01/05/1999,42.8394,3.239908423
01/06/1999,43.3595,2.09441959
01/07/1999,43.2900,1.715225564
01/08/1999,43.4802,2.20895382
01/09/1999,43.6091,2.634037736
01/10/1999,43.4197,2.479153538
01/11/1999,43.4103,1.831834368
01/12/1999,43.5199,2.445805056
01/01/2000,43.6395,2.679485279
01/02/2000,43.6091,2.634037736
01/03/2000,43.6205,2.804828613
01/04/2000,43.6605,1.964772812
01/05/2000,44.5800,4.063082116
01/06/2000,44.6800,3.045468698
01/07/2000,44.9900,3.927003927
01/08/2000,45.8000,5.335302046
01/09/2000,46.0700,5.643088255
01/10/2000,46.8000,7.785175853
01/11/2000,46.8400,7.900659521
01/12/2000,46.7500,7.422121834
01/01/2001,46.4100,6.348606194
01/02/2001,46.6100,6.881361918
01/03/2001,46.6400,6.92220401
01/04/2001,46.8600,7.328134126
01/05/2001,46.9900,5.406011664
01/06/2001,47.0400,5.282005372
01/07/2001,47.1600,4.823294065
01/08/2001,47.1500,2.947598253
01/09/2001,47.8600,3.885391795
01/10/2001,47.9700,2.5
01/11/2001,47.9900,2.455166524
01/12/2001,48.1800,3.058823529
01/01/2002,48.5800,4.67571644
01/02/2002,48.8100,4.720017164
01/03/2002,48.8000,4.631217839
01/04/2002,48.9700,4.502774221
01/05/2002,49.0300,4.341349223
01/06/2002,48.8700,3.890306122
01/07/2002,48.6800,3.223070399
01/08/2002,48.5100,2.884411453
01/09/2002,48.3800,1.086502298
01/10/2002,48.4100,0.917239942
01/11/2002,48.2700,0.583454886
01/12/2002,48.0300,-0.311332503
01/01/2003,47.8000,-1.605599012
01/02/2003,47.6700,-2.33558697
01/03/2003,47.5000,-2.663934426
01/04/2003,47.3500,-3.308147846
01/05/2003,47.0300,-4.079135223
01/06/2003,46.4700,-4.910988336
01/07/2003,46.1400,-5.217748562
01/08/2003,45.8500,-5.483405483
01/09/2003,45.8500,-5.22943365
01/10/2003,45.3200,-6.382978723
01/11/2003,45.9400,-4.827014709
