Date,GDP,growthrate
1998-01-01,8527757228947.9700,4.916954041
1998-04-01,8639533629370.4200,5.858280142
1998-07-01,8796319257819.9600,6.508867472
1998-10-01,8911613452914.0600,6.204705317
1999-01-01,9056351715326.8200,6.198517057
1999-04-01,9290207690758.2000,7.531356313
1999-07-01,9405901347212.9100,6.929967769
1999-10-01,9561170231216.4000,7.288879637
2000-01-01,9761909582765.7200,7.790751614
2000-04-01,9775079044581.5800,5.219165921
2000-07-01,9904862119656.4200,5.304762978
2000-10-01,9909011337392.9700,3.638059963
2001-01-01,9962585531799.7900,2.055703829
2001-04-01,10169944037384.1000,4.039506903
2001-07-01,10295731904813.3000,3.946241557
2001-10-01,10532109899197.9000,6.288201119
2002-01-01,10617114237458.8000,6.569867868
2002-04-01,10683339733494.6000,5.048166383
2002-07-01,10746752084488.6000,4.380651942
2002-10-01,10755160454271.0000,2.117814542
2003-01-01,10997269301373.6000,3.580587487
2003-04-01,11275852038086.1000,5.546133694
2003-07-01,11572645197201.5000,7.685048526
2003-10-01,11952599099872.1000,11.13361954
2004-01-01,11996165203447.5000,9.083126681
2004-04-01,12281454837701.7000,8.9181979
2004-07-01,12575919608783.9000,8.669361192
2004-10-01,12819466473841.5000,7.252542871
2005-01-01,13043931623156.7000,8.734177981
2005-04-01,13457019763912.0000,9.571870285
2005-07-01,13644262823436.9000,8.495149841
2005-10-01,13989177109682.4000,9.124487655
2006-01-01,14339686142094.1000,9.933772703
2006-04-01,14545658699433.3000,8.089747616
2006-07-01,15026101352108.8000,10.12761588
2006-10-01,15283241202598.1000,9.250466148
2007-01-01,15710162623333.1000,9.557227876
2007-04-01,16106082043670.9000,10.72775992
2007-07-01,16395101917483.5000,9.110816793
2007-10-01,16948745543670.7000,10.89758592
2008-01-01,17051438501112.3000,8.537632041
2008-04-01,17229431951468.5000,6.974693813
2008-07-01,17379369324870.8000,6.003423537
2008-10-01,17400671663583.9000,2.666428136
2009-01-01,17079431373931.1000,0.164167222
2009-04-01,18070662993539.6000,4.882523373
2009-07-01,18532166937498.4000,6.633138355
2009-10-01,18926295709216.1000,8.767615843
2010-01-01,19418413284273.2000,13.6947294
2010-04-01,19884953191266.9000,10.03997583
2010-07-01,20472748713464.9000,10.471424
2010-10-01,20947934845923.9000,10.68164192
2011-01-01,21331416267059.0000,9.851489691
2011-04-01,21589877489704.0000,8.573941724
2011-07-01,21589046584209.4000,5.452603783
2011-10-01,21940709276585.7000,4.739247272
2012-01-01,22243662739501.0000,4.27653964
2012-04-01,22501233014552.4000,4.22121675
2012-07-01,22904904457049.2000,6.0950254
2012-10-01,23176755592592.9000,5.633575015
2013-01-01,23547290895805.5000,5.86067219
2013-04-01,23877852251461.4000,6.117972451
2013-07-01,24260165146088.1000,5.916901734
2013-10-01,24794159449509.4000,6.978560267
2014-01-01,25081524562941.2000,6.515542165
2014-04-01,25655803743677.3000,7.446027698
2014-07-01,26124227096814.3000,7.68363257
2014-10-01,26524965156915.3000,6.980699269
2015-01-01,26971729392593.2000,7.536243759
2015-04-01,27549407808527.5000,7.380801957
2015-07-01,28058028781608.3000,7.402330709
2015-10-01,28628298048625.8000,7.92963489
