DATE,INDCPIALLMINMEI,inflationrate
01/01/1969,2.859007928,-5.535499399
01/02/1969,2.844439735,-4.63980464
01/03/1969,2.859007928,-2.363184081
01/04/1969,2.87721817,-2.227722772
01/05/1969,2.909996604,-0.24968789
01/06/1969,2.993763716,1.732673268
01/07/1969,3.011973957,2.860696517
01/08/1969,3.011973957,0.608272506
01/09/1969,3.011973957,0
01/10/1969,2.993763716,-1.08303249
01/11/1969,2.979195522,0.61500615
01/12/1969,2.979195522,3.544303797
01/01/1970,2.979195522,4.203821656
01/02/1970,2.979195522,4.737516005
01/03/1970,3.011973957,5.350318472
01/04/1970,3.044752392,5.822784809
01/05/1970,3.077530827,5.757196496
01/06/1970,3.11395131,4.01459854
01/07/1970,3.128519503,3.869407497
01/08/1970,3.146729745,4.474002418
01/09/1970,3.161297938,4.957678355
01/10/1970,3.17950818,6.204379562
01/11/1970,3.17950818,6.723716382
01/12/1970,3.128519503,5.01222494
01/01/1971,3.095741069,3.91198044
01/02/1971,3.095741069,3.91198044
01/03/1971,3.095741069,2.781136638
01/04/1971,3.095741069,1.674641149
01/05/1971,3.095741069,0.591715976
01/06/1971,3.146729745,1.052631578
01/07/1971,3.197718421,2.211874272
01/08/1971,3.263275291,3.703703704
01/09/1971,3.296053726,4.262672812
01/10/1971,3.296053726,3.665521191
01/11/1971,3.314263968,4.238258877
01/12/1971,3.281485533,4.889406286
01/01/1972,3.263275291,5.411764706
01/02/1972,3.24506505,4.823529412
01/03/1972,3.263275291,5.411764706
01/04/1972,3.281485533,6
01/05/1972,3.296053726,6.470588236
01/06/1972,3.379820837,7.407407408
01/07/1972,3.449019755,7.858769932
01/08/1972,3.48179819,6.696428572
01/09/1972,3.500008432,6.187845303
01/10/1972,3.514576625,6.629834253
01/11/1972,3.532786866,6.593406593
01/12/1972,3.532786866,7.658157603
01/01/1973,3.532786866,8.258928571
01/02/1973,3.583775543,10.43771044
01/03/1973,3.634764219,11.38392857
01/04/1973,3.718531331,13.31853496
01/05/1973,3.835076877,16.35359116
01/06/1973,3.918843988,15.94827586
01/07/1973,4.08637821,18.47940866
01/08/1973,4.155577129,19.35146444
01/09/1973,4.17378737,19.25078044
01/10/1973,4.272122675,21.55440414
01/11/1973,4.355889786,23.29896907
01/12/1973,4.374100027,23.81443299
01/01/1974,4.439656897,25.67010309
01/02/1974,4.490645574,25.30487805
01/03/1974,4.625401361,27.25450902
01/04/1974,4.760157149,28.01175318
01/05/1974,4.945901613,28.9648623
01/06/1974,5.062447159,29.18215613
01/07/1974,5.23362343,28.07486631
01/08/1974,5.401157653,29.97370727
01/09/1974,5.619680551,34.64223386
01/10/1974,5.634248745,31.88405797
01/11/1974,5.568691875,27.84280936
01/12/1974,5.484924764,25.39550375
01/01/1975,5.484924764,23.54388843
01/02/1975,5.466714522,21.73560422
01/03/1975,5.401157653,16.77165354
01/04/1975,5.433936087,14.15455241
