Date,Policyrate
01/07/1935,3.5
01/08/1935,3.5
01/09/1935,3.5
01/10/1935,3.5
01/11/1935,3.5
01/12/1935,3
01/01/1936,3
01/02/1936,3
01/03/1936,3
01/04/1936,3
01/05/1936,3
01/06/1936,3
01/07/1936,3
01/08/1936,3
01/09/1936,3
01/10/1936,3
01/11/1936,3
01/12/1936,3
01/01/1937,3
01/02/1937,3
01/03/1937,3
01/04/1937,3
01/05/1937,3
01/06/1937,3
01/07/1937,3
01/08/1937,3
01/09/1937,3
01/10/1937,3
01/11/1937,3
01/12/1937,3
01/01/1938,3
01/02/1938,3
01/03/1938,3
01/04/1938,3
01/05/1938,3
01/06/1938,3
01/07/1938,3
01/08/1938,3
01/09/1938,3
01/10/1938,3
01/11/1938,3
01/12/1938,3
01/01/1939,3
01/02/1939,3
01/03/1939,3
01/04/1939,3
01/05/1939,3
01/06/1939,3
01/07/1939,3
01/08/1939,3
01/09/1939,3
01/10/1939,3
01/11/1939,3
01/12/1939,3
01/01/1940,3
01/02/1940,3
01/03/1940,3
01/04/1940,3
01/05/1940,3
01/06/1940,3
01/07/1940,3
01/08/1940,3
01/09/1940,3
01/10/1940,3
01/11/1940,3
01/12/1940,3
01/01/1941,3
01/02/1941,3
01/03/1941,3
01/04/1941,3
01/05/1941,3
01/06/1941,3
01/07/1941,3
01/08/1941,3
01/09/1941,3
01/10/1941,3
01/11/1941,3
01/12/1941,3
01/01/1942,3
01/02/1942,3
01/03/1942,3
01/04/1942,3
01/05/1942,3
01/06/1942,3
01/07/1942,3
01/08/1942,3
01/09/1942,3
01/10/1942,3
01/11/1942,3
01/12/1942,3
01/01/1943,3
01/02/1943,3
01/03/1943,3
01/04/1943,3
01/05/1943,3
01/06/1943,3
01/07/1943,3
01/08/1943,3
01/09/1943,3
01/10/1943,3
01/11/1943,3
01/12/1943,3
01/01/1944,3
01/02/1944,3
01/03/1944,3
01/04/1944,3
01/05/1944,3
01/06/1944,3
01/07/1944,3
01/08/1944,3
01/09/1944,3
01/10/1944,3
01/11/1944,3
01/12/1944,3
01/01/1945,3
01/02/1945,3
01/03/1945,3
01/04/1945,3
01/05/1945,3
01/06/1945,3
01/07/1945,3
01/08/1945,3
01/09/1945,3
01/10/1945,3
01/11/1945,3
01/12/1945,3
01/01/1946,3
01/02/1946,3
01/03/1946,3
01/04/1946,3
01/05/1946,3
01/06/1946,3
01/07/1946,3
01/08/1946,3
01/09/1946,3
01/10/1946,3
01/11/1946,3
01/12/1946,3
01/01/1947,3
01/02/1947,3
01/03/1947,3
01/04/1947,3
01/05/1947,3
01/06/1947,3
01/07/1947,3
01/08/1947,3
01/09/1947,3
01/10/1947,3
01/11/1947,3
01/12/1947,3
01/01/1948,3
01/02/1948,3
01/03/1948,3
01/04/1948,3
01/05/1948,3
01/06/1948,3
01/07/1948,3
01/08/1948,3
01/09/1948,3
01/10/1948,3
01/11/1948,3
01/12/1948,3
01/01/1949,3
01/02/1949,3
01/03/1949,3
01/04/1949,3
01/05/1949,3
01/06/1949,3
01/07/1949,3
01/08/1949,3
01/09/1949,3
01/10/1949,3
01/11/1949,3
01/12/1949,3
01/01/1950,3
01/02/1950,3
01/03/1950,3
01/04/1950,3
01/05/1950,3
01/06/1950,3
01/07/1950,3
01/08/1950,3
01/09/1950,3
01/10/1950,3
01/11/1950,3
01/12/1950,3
01/01/1951,3
01/02/1951,3
01/03/1951,3
01/04/1951,3
01/05/1951,3
01/06/1951,3
01/07/1951,3
01/08/1951,3
01/09/1951,3
01/10/1951,3
01/11/1951,3
01/12/1951,3.5
01/01/1952,3.5
01/02/1952,3.5
01/03/1952,3.5
01/04/1952,3.5
01/05/1952,3.5
01/06/1952,3.5
01/07/1952,3.5
01/08/1952,3.5
01/09/1952,3.5
01/10/1952,3.5
01/11/1952,3.5
01/12/1952,3.5
01/01/1953,3.5
01/02/1953,3.5
01/03/1953,3.5
01/04/1953,3.5
01/05/1953,3.5
01/06/1953,3.5
01/07/1953,3.5
01/08/1953,3.5
01/09/1953,3.5
01/10/1953,3.5
01/11/1953,3.5
01/12/1953,3.5
01/01/1954,3.5
01/02/1954,3.5
01/03/1954,3.5
01/04/1954,3.5
01/05/1954,3.5
01/06/1954,3.5
01/07/1954,3.5
01/08/1954,3.5
01/09/1954,3.5
01/10/1954,3.5
01/11/1954,3.5
01/12/1954,3.5
01/01/1955,3.5
01/02/1955,3.5
01/03/1955,3.5
01/04/1955,3.5
01/05/1955,3.5
01/06/1955,3.5
01/07/1955,3.5
01/08/1955,3.5
01/09/1955,3.5
01/10/1955,3.5
01/11/1955,3.5
01/12/1955,3.5
01/01/1956,3.5
01/02/1956,3.5
01/03/1956,3.5
01/04/1956,3.5
01/05/1956,3.5
01/06/1956,3.5
01/07/1956,3.5
01/08/1956,3.5
01/09/1956,3.5
01/10/1956,3.5
01/11/1956,3.5
01/12/1956,3.5
01/01/1957,3.5
01/02/1957,3.5
01/03/1957,3.5
01/04/1957,3.5
01/05/1957,3.5
01/06/1957,4
01/07/1957,4
01/08/1957,4
01/09/1957,4
01/10/1957,4
01/11/1957,4
01/12/1957,4
01/01/1958,4
01/02/1958,4
01/03/1958,4
01/04/1958,4
01/05/1958,4
01/06/1958,4
01/07/1958,4
01/08/1958,4
01/09/1958,4
01/10/1958,4
01/11/1958,4
01/12/1958,4
01/01/1959,4
01/02/1959,4
01/03/1959,4
01/04/1959,4
01/05/1959,4
01/06/1959,4
01/07/1959,4
01/08/1959,4
01/09/1959,4
01/10/1959,4
01/11/1959,4
01/12/1959,4
01/01/1960,4
01/02/1960,4
01/03/1960,4
01/04/1960,4
01/05/1960,4
01/06/1960,4
01/07/1960,4
01/08/1960,4
01/09/1960,4
01/10/1960,4
01/11/1960,4
01/12/1960,4
01/01/1961,4
01/02/1961,4
01/03/1961,4
01/04/1961,4
01/05/1961,4
01/06/1961,4
01/07/1961,4
01/08/1961,4
01/09/1961,4
01/10/1961,4
01/11/1961,4
01/12/1961,4
01/01/1962,4
01/02/1962,4
01/03/1962,4
01/04/1962,4
01/05/1962,4
01/06/1962,4
01/07/1962,4
01/08/1962,4
01/09/1962,4
01/10/1962,4
01/11/1962,4
01/12/1962,4
01/01/1963,4
01/02/1963,4.5
01/03/1963,4.5
01/04/1963,4.5
01/05/1963,4.5
01/06/1963,4.5
01/07/1963,4.5
01/08/1963,4.5
01/09/1963,4.5
01/10/1963,4.5
01/11/1963,4.5
01/12/1963,4.5
01/01/1964,4.5
01/02/1964,4.5
01/03/1964,4.5
01/04/1964,4.5
01/05/1964,4.5
01/06/1964,4.5
01/07/1964,4.5
01/08/1964,4.5
01/09/1964,4.5
01/10/1964,5
01/11/1964,5
01/12/1964,5
01/01/1965,5
01/02/1965,5
01/03/1965,6
01/04/1965,6
01/05/1965,6
01/06/1965,6
01/07/1965,6
01/08/1965,6
01/09/1965,6
01/10/1965,6
01/11/1965,6
01/12/1965,6
01/01/1966,6
01/02/1966,6
01/03/1966,6
01/04/1966,6
01/05/1966,6
01/06/1966,6
