Year,Revenuedeficit
1981,-0.226884013
1982,-0.676827484
1983,-1.128516534
1984,-1.675335787
1985,-2.069699309
1986,-2.442786426
1987,-2.524976852
1988,-2.448976796
1989,-2.415272794
1990,-3.221958584
1991,-2.455378269
1992,-2.440107629
1993,-3.73473549
1994,-3.019648123
1995,-2.466110421
1996,-2.341097363
1997,-3.005836024
1998,-3.779050552
1999,-3.399753882
2000,-3.983109956
2001,-4.326198237
2002,-4.327946859
2003,-3.518708663
2004,-2.458563699
2005,-2.541212338
2006,-1.885522811
2007,-1.073129752
2008,-4.597968687
2009,-5.324793473
2010,-3.304118432
2011,-4.513885749
2012,-3.663329847
2013,-3.17841557
2014,-2.931666614
2015,-2.488666412
2016,-2.055534068
2017,-2.594409394
2018,-2.395642426
2019,-2.455986782
,
